elapsed_ms,core_id,user_percent,system_percent,total_usage_percent
108,0,0.00,0.00,0.00
212,0,0.00,0.00,0.00
316,0,0.00,0.00,0.00
423,0,0.00,0.00,0.00
527,0,0.00,0.00,0.00
633,0,0.00,0.00,0.00
738,0,0.00,0.00,0.00
842,0,0.00,0.00,0.00
950,0,0.00,0.00,0.00
1052,0,0.00,0.00,0.00
1164,0,0.00,0.00,0.00
1265,0,0.00,0.00,0.00
1370,0,0.00,0.00,0.00
1475,0,0.00,0.00,0.00
1580,0,0.00,0.00,0.00
1681,0,0.00,0.00,0.00
1789,0,0.00,0.00,0.00
1891,0,0.00,0.00,0.00
1996,0,0.00,0.00,0.00
2102,0,0.00,0.00,0.00
2204,0,0.00,0.00,0.00
2307,0,0.00,0.00,0.00
2414,0,0.00,0.00,0.00
2516,0,0.00,0.00,0.00
2616,0,0.00,0.00,0.00
2722,0,0.00,0.00,0.00
2829,0,0.00,0.00,0.00
2937,0,0.00,0.00,0.00
3042,0,0.00,0.00,0.00
3148,0,0.00,0.00,0.00
3254,0,0.00,0.00,0.00
3366,0,0.00,0.00,0.00
3471,0,0.00,0.00,0.00
3573,0,0.00,0.00,0.00
3674,0,0.00,0.00,0.00
3779,0,0.00,0.00,0.00
3884,0,0.00,0.00,0.00
3989,0,0.00,0.00,0.00
4095,0,0.00,0.00,0.00
4200,0,0.00,0.00,0.00
4304,0,0.00,0.00,0.00
4408,0,0.00,0.00,0.00
4513,0,0.00,0.00,0.00
4617,0,0.00,0.00,0.00
4722,0,0.00,0.00,0.00
4827,0,0.00,0.00,0.00
4935,0,0.00,0.00,0.00
5038,0,0.00,0.00,0.00
5144,0,0.00,0.00,0.00
5250,0,0.00,0.00,0.00
5351,0,0.00,0.00,0.00
5458,0,0.00,0.00,0.00
5563,0,0.00,0.00,0.00
5670,0,0.00,0.00,0.00
5774,0,0.00,0.00,0.00
5884,0,0.00,0.00,0.00
5989,0,0.00,0.00,0.00
6100,0,0.00,0.00,0.00
6202,0,0.00,0.00,0.00
6314,0,0.00,0.00,0.00
6417,0,0.00,0.00,0.00
6531,0,0.00,0.00,0.00
6636,0,0.00,0.00,0.00
6742,0,0.00,0.00,0.00
6847,0,0.00,0.00,0.00
6948,0,0.00,0.00,0.00
7053,0,0.00,0.00,0.00
7161,0,0.00,0.00,0.00
7266,0,0.00,0.00,0.00
7371,0,0.00,0.00,0.00
7478,0,0.00,0.00,0.00
7589,0,0.00,0.00,0.00
7694,0,0.00,0.00,0.00
7794,0,0.00,0.00,0.00
7897,0,0.00,0.00,0.00
8005,0,0.00,0.00,0.00
8113,0,0.00,0.00,0.00
8216,0,0.00,0.00,0.00
8322,0,0.00,0.00,0.00
8427,0,0.00,0.00,0.00
8535,0,0.00,0.00,0.00
8640,0,0.00,0.00,0.00
8741,0,0.00,0.00,0.00
8848,0,0.00,0.00,0.00
8953,0,0.00,0.00,0.00
9061,0,0.00,0.00,0.00
9164,0,0.00,0.00,0.00
9269,0,0.00,0.00,0.00
9370,0,0.00,0.00,0.00
9479,0,0.00,0.00,0.00
9588,0,0.00,0.00,0.00
9690,0,0.00,0.00,0.00
9797,0,0.00,0.00,0.00
9902,0,0.00,0.00,0.00
10004,0,0.00,0.00,0.00
